Species,Turbine_Longitude,Turbine_Latitude,Timestamp,Distance
Melanitta americana,-160.48907,55.3436,2003/12/26 21:26:09,0.65805286
Melanitta americana,-160.49059,55.3448,2003/12/26 21:26:09,0.55729735
Melanitta americana,-160.48907,55.3436,2004/01/02 20:24:53,0.80252445
Melanitta americana,-160.49059,55.3448,2004/01/02 20:24:53,0.7183619
Melanitta americana,-160.48907,55.3436,2004/01/03 01:05:34,0.81964564
Melanitta americana,-160.49059,55.3448,2004/01/03 01:05:34,0.7812174
Melanitta americana,-100.02199,48.543293,2003/08/26 19:51:26,0.8979804
Melanitta americana,-100.02849,48.521393,2003/08/26 19:51:26,0.84013224
Melanitta americana,-100.02519,48.541992,2003/08/26 19:51:26,0.7398694
Melanitta americana,-100.03449,48.542793,2003/08/26 19:51:26,0.67649347
Melanitta americana,-100.02829,48.524593,2003/08/26 19:51:26,0.6364554
Melanitta americana,-100.01889,48.525192,2003/08/26 19:51:26,0.8762328
Melanitta americana,-100.02229,48.524193,2003/08/26 19:51:26,0.81008303
Melanitta americana,-100.03089,48.543392,2003/08/26 19:51:26,0.731374
Melanitta americana,-100.03449,48.521294,2003/08/26 19:51:26,0.8086515
Melanitta americana,-95.86649,43.71279,2004/09/15 11:37:11,0.93439627
Melanitta americana,-162.29088,60.86371,2005/07/02 14:47:30,0.8742515
Melanitta americana,-162.2892,60.863224,2005/07/02 14:47:30,0.81041306
Melanitta americana,-93.2974,43.340134,2006/04/04 17:10:25,0.8550828
Melanitta americana,-93.309395,43.333855,2006/04/04 17:10:25,0.87256634
Melanitta americana,-93.30322,43.340477,2006/04/04 17:10:25,0.97817874
Melanitta americana,-93.30522,43.33534,2006/04/04 17:10:25,0.75795615
Melanitta americana,-93.29283,43.336136,2006/04/04 17:10:25,0.5648542
Melanitta americana,-92.34738,43.378345,2006/04/04 18:12:41,0.581979
Melanitta americana,-92.34078,43.35952,2006/04/04 18:12:41,0.83282727
Melanitta americana,-92.34317,43.377617,2006/04/04 18:12:41,0.6018619
Melanitta americana,-92.347466,43.36564,2006/04/04 18:12:41,0.31073508
Melanitta americana,-92.344925,43.359516,2006/04/04 18:12:41,0.7521223
Melanitta americana,-92.35893,43.36522,2006/04/04 18:12:41,0.5979225
